City,State,Technology,Vendor
Bisbee,Arizona,Body-worn Cameras,Axon
Bisbee,Arizona,Camera Network,Cogniac
Bisbee,Arizona,Cell-site Simulators,
Bisbee,Arizona,Drones,Lockheed Martin
Bisbee,Arizona,Starchase,Starchase
Fort Huachuca,Arizona,Camera Network,Panasonic
Huachuca City,Arizona,Body-worn Cameras,
Sierra Vista,Arizona,Body-worn Cameras,Axon
Sierra Vista,Arizona,Drones,
Tombstone,Arizona,Drones,
Fort Huachuca,Arizona,Drones,
Fort Huachuca,Arizona,Drones,General Automatics
Huachuca City,Arizona,Tethered Aerostat Radar System,
Phoenix,Arizona,Face recognition,
Phoenix,Arizona,Face recognition,
 Tohono O'odham Nation,Arizona,Automated License Plate Readers,
Marana,Arizona,Automated License Plate Readers,
Marana,Arizona,Body-worn Cameras,Axon
Oro Valley,Arizona,Automated License Plate Readers,
Oro Valley,Arizona,Drones,DJI
Tucson,Arizona,Automated License Plate Readers,
Tucson,Arizona,Drones,
Sahuarita,Arizona,Body-worn Cameras,Axon
Sahuarita,Arizona,Drones,
South Tucson,Arizona,Body-worn Cameras,Axon
Tucson,Arizona,Artificial Intelligence,Forensic Logic 
Tucson,Arizona,Body-worn Cameras,
Tucson,Arizona,Camera Registry,
Tucson,Arizona,Real-Time Crime Centers,
Tohono Oâ€™odham Nation,Arizona,Integrated Fixed Towers,Elbit Systems of America
Tucson,Arizona,Mobile Surveillance Vehicle,
Tucson,Arizona,Unattended Ground Sensors,
Nogales,Arizona,Automated License Plate Readers,
Yuma,Arizona,Smart Streetlights,Siemens and anyCOMM
Yuma,Arizona,Mobile Surveillance Vehicle,
Yuma,Arizona,Unattended Ground Sensors,
Yuma,Arizona,Tethered Aerostat Radar System,
Yuma,Arizona,Automated License Plate Readers,
Yuma,Arizona,Body-worn Cameras,Visual Labs Inc. 
Yuma,Arizona,Automated License Plate Readers,
Yuma,Arizona,Body-worn Cameras,
Calexico,California,Automated License Plate Readers,Convergint Technologies
Calexico,California,Body-worn Cameras,
Calexico,California,Camera Network,Convergint Technologies
El Centro,California,Automated License Plate Readers,
El Centro,California,Body-worn Cameras,Vievu
El Centro,California,Automated License Plate Readers,
El Centro,California,Body-worn Cameras,
El Centro,California,Drones,
El Centro,California,Mobile Surveillance Vehicle,
El Centro,California,Remote Video Surveillance Systems,
San Marcos,California,Automated License Plate Readers,
San Marcos,California,Body-worn Cameras,Axon
Carlsbad,California,Automated License Plate Readers,
Carlsbad,California,Body-worn Cameras,
Carlsbad,California,Ring/Neighbors,Ring
Chula Vista,California,Automated License Plate Readers,
Chula Vista,California,Camera Network,
Chula Vista,California,Drones,DJI
Chula Vista,California,Ring/Neighbors,Ring
Coronado,California,Automated License Plate Readers,
Coronado,California,Body-worn Cameras,
El Cajon,California,Automated License Plate Readers,
El Cajon,California,Body-worn Cameras,Axon
Escondido,California,Automated License Plate Readers,
Escondido,California,Body-worn Cameras,Axon
Escondido,California,Drones,DJI
La Mesa,California,Automated License Plate Readers,Vigilant Solutions
La Mesa,California,Body-worn Cameras,
La Mesa,California,Ring/Neighbors,Ring
National City,California,Drones,
Oceanside,California,Automated License Plate Readers,
Oceanside,California,Ring/Neighbors,Ring
San Diego,California,Automated License Plate Readers,
San Diego,California,Face Recognition,FaceFirst
San Diego,California,Body-worn Cameras,Axon
San Diego,California,Drones,
San Diego,California,Ring/Neighbors,Ring
San Diego,California,Automated License Plate Readers,Vigilant Solutions/3m
San Diego,California,Drones,DJI
San Diego,California,Fusion Center,Palantir Technologies
San Diego,California,Automated License Plate Readers,Vigilant Solutions/3M
San Diego,California,Body-worn Cameras,Axon
San Diego,California,Camera Network,GE/City IQ
San Diego,California,Camera Network,
San Diego,California,Cell-site Simulators,Harris Corporation
San Diego,California,Drones,DJI
San Diego,California,Gunshot detection,ShotSpotter
San Diego,California,Mobile Surveillance Vehicle,Terrahawk
San Diego,California,Surveillance Trailer,Absolute Surveillance
San Diego,California,Body-worn Cameras,
San Diego,California,Integrated Fixed Towers,Elbit Systems of America
San Diego,California,Mobile Surveillance Vehicle,
San Diego,California,Remote Video Surveillance Systems,
San Diego,California,Gunshot detection,Shotspotter
San Diego ,California,Surveillance Towers,Anduril 
Lemon Grove,California,Camera Network,Genetec
Las Cruces,New Mexico,Automated License Plate Readers,
Las Cruces,New Mexico,Body-worn Cameras,
Las Cruces,New Mexico,Face Recognition,OD Tactical Eyewear USA
Las Cruces,New Mexico,Iris scanning,Bi2 Techonologies
Las Cruces,New Mexico,Mobile Surveillance Vehicle,Strong Watch Corporation
Las Cruces,New Mexico,Body-worn Cameras,Axon
Las Cruces,New Mexico,Drones,
Sunland Park,New Mexico,Body-worn Cameras,
Deming,New Mexico,Tethered Aerostat Radar System,
Alpine,Texas,Drones,DJI
Alpine,Texas,Mobile Surveillance Vehicle,Terrahawk
Brownsville,Texas,Drones,
Brownsville,Texas,Body-worn Cameras,Axon
Brownsville,Texas,Camera Network,Xtreme Security
Brownsville,Texas,Automated License Plate Readers/Camera Network,Wireless CCTV
Olmito,Texas,Body-worn Cameras,
Brownsville,Texas,Iris scanning,Bi2 Techonologies
Laguna Vista,Texas,Body-worn Cameras,Axon
South Padre Island,Texas,Automated License Plate Readers,
South Padre Island,Texas,Body-worn Cameras,
South Padre Island,Texas,Drones,Yuneec
Brownsville,Texas,Spy Plane,
El Paso,Texas,Cell-site Simulators,Harris Corp.
El Paso,Texas,Automated License Plate Readers,
El Paso,Texas,Body-worn Cameras,Axon
El Paso,Texas,Iris scanning,Bi2 Techonologies
El Paso,Texas,Body-worn Cameras,
El Paso,Texas,Automated License Plate Readers/Surveillance Trailer,Skycop
El Paso,Texas,Body-worn Cameras,WatchGuard
El Paso,Texas,Camera Registry,
El Paso,Texas,Drones,
El Paso,Texas,Fusion Center,
Horizon City,Texas,Automated License Plate Readers,
Horizon City,Texas,Body-worn Cameras,
El Paso,Texas,Spy Plane,
El Paso,Texas,Integrated Fixed Towers,Elbit Systems of America
El Paso,Texas,Mobile Surveillance Vehicle,
El Paso,Texas,Remote Video Surveillance Systems,
El Paso,Texas,Surveillance Towers,Anduril 
Alamo,Texas,Body-worn Cameras,Axon
Edinburg,Texas,Automated License Plate Readers,Vigilant Solutions
Edinburg,Texas,Automated License Plate Readers/Surveillance Trailer,Skycop
Edinburg,Texas,Body-worn Cameras,Coban
Pharr,Texas,Camera Network,
Edinburg,Texas,Automated License Plate Readers,Vigilant Solutions
Edinburg,Texas,Automated License Plate Readers/Surveillance Trailer,SkyCop
Edinburg,Texas,Camera Network,
Edinburg,Texas,Drones,
Edinburg,Texas,Iris scanning,Bi2 Techonologies
Edinburg,Texas,Pole Cameras,
Hidalgo ,Texas,Automated License Plate Readers/Surveillance Trailer,Skycop
McAllen,Texas,Automated License Plate Readers,Wi4net
McAllen,Texas,Camera Network,Wi4net
McAllen,Texas,Camera Network,
Pharr,Texas,Automated License Plate Readers/Surveillance Trailer,Skycop
Pharr,Texas,Body-worn Cameras,
McAllen,Texas,Predictive Policing,
Mission,Texas,Spy Plane,
McAllen,Texas,Tactical Aerostat,
Weslaco,Texas,Tactical Aerostat,
Mission ,Texas,Automated License Plate Readers,
Mission ,Texas,Body-worn Cameras,
Mission ,Texas,Drones,
San Juan ,Texas,Body-worn Cameras,
Weslaco,Texas,Body-worn Cameras,WatchGuard
Fort Hancock,Texas,Spy Plane,
Fort Davis,Texas,Mobile Surveillance Vehicle,Terrahawk
Bracketville,Texas,Body-worn Cameras,
Eagle Pass,Texas,Body-worn Cameras,
Eagle Pass,Texas,Body-worn Cameras,
Del Rio,Texas,Integrated Fixed Towers,Elbit Systems of America
Del Rio,Texas,Mobile Surveillance Vehicle,
Del Rio,Texas,Remote Video Surveillance Systems,
Eagle Pass,Texas,Tethered Aerostat Radar System,
Marfa,Texas,Mobile Surveillance Vehicle,
Marfa,Texas,Remote Video Surveillance Systems,
Marfa,Texas,Tethered Aerostat Radar System,
Rio Grande ,Texas,Body-worn Cameras,
Rio Grande City,Texas,Automated License Plate Readers,
Rio Grande City,Texas,Spy Plane,
Rio Grande Valley,Texas,Integrated Fixed Towers,Elbit Systems of America
Rio Grande Valley,Texas,Remote Video Surveillance Systems,
Rio Grande City,Texas,Tactical Aerostat,
Rio Grande City,Texas,Tethered Aerostat Radar System,
Sanderson,Texas,Body-worn Cameras,Digital Ally
Austin,Texas,Camera Network,
Austin,Texas,Face recognition,
Del Rio,Texas,Automated License Plate Readers,
Del Rio,Texas,Body-worn Cameras,
Del Rio,Texas,Body-worn Cameras,
Del Rio,Texas,Lidar,Quanergy
Del Rio,Texas,Mobile Surveillance Vehicle,Terrahawk
Laredo,Texas,Automated License Plate Readers,Perceptics
Laredo,Texas,Body-worn Cameras,
Laredo,Texas,Automated License Plate Readers,Wireless CCTV
Laredo,Texas,Body-worn Cameras,
Laredo,Texas,Camera Networks/Real-Time Crime Centers,
Laredo,Texas,Drones,Leptron
Laredo,Texas,Body-worn Cameras,
Laredo,Texas,Spy Plane,
Laredo,Texas,Integrated Fixed Towers,Elbit Systems of America
Laredo,Texas,Remote Video Surveillance Systems,
Laredo,Texas,Body-worn Cameras,
Laredo,Texas,Automated License Plate Readers,
Laredo,Texas,Body-worn Cameras,
Laredo,Texas,Camera Network,
Laredo,Texas,Mobile Surveillance Vehicle,Terrahawk
Zapata,Texas,Spy Plane,
Zapata,Texas,Tactical Aerostat,
Zapata,Texas,Mobile Surveillance Vehicle,Terrahawk
